Printer_Setting_Log,

Log_file_name,PLOG0001.CSV,
Image_file_name,D:\DCIM\100_FUJI\DSCF0001.JPG,
MODEL,FI019,
Serial_number,3310117352,
Firmware_version,1.06,
Log_profile,1.00,
Print_Time,2024/10/19 09:36:41,
PH_Vendar,TP,
PH_Serial_No,4156A231160856,
PH_TYPE,ELPH_TYPE_PP2,
BrightnessFTNM_R,28,
BrightnessFTNM_G,31,
BrightnessFTNM_B,42,
BrightnessTPREF1NM_R,9,
BrightnessTPREF1NM_G,7,
BrightnessTPREF1NM_B,4,
BrightnessTPREF2NM_R,155,
BrightnessTPREF2NM_G,116,
BrightnessTPREF2NM_B,104,
BrightnessFT3D_R,28,
BrightnessFT3D_G,32,
BrightnessFT3D_B,42,
BrightnessTPREF13D_R,7,
BrightnessTPREF13D_G,5,
BrightnessTPREF13D_B,3,
BrightnessTPREF23D_R,151,
BrightnessTPREF23D_G,118,
BrightnessTPREF23D_B,113,
Exposure_R,500 nsec,
Exposure_G,500 nsec,
Exposure_B,500 nsec,
temperature,22.0,
3DLUT_enable,ON,
3DLUT_information,2021/07/01 ref3,
Double_density,OFF,
Print_Brightness,x1.0,
result,No Film PI,

Printer_Parameter_Log,
motor_duty:pri_usb,100,
motor_duty:rej_usb,100,
motor_duty:pri,100,
motor_duty:rej,100,
LNC_F_enable,1,
LNC_UH_centerPos,155,
LNC_UH_width_HI,30,
LNC_UH_width_LO,50,
LNC_UH_effectValue,250,250,250,
LNC_UH_referOffsetLine,4,
LNC_UH_referMovAveCnt,3,
LNC_UH_lastMovAveCnt,3,
LNC_UH_LoCutCoef,128,128,0,
LNC_SH_CorrLimMin,-2,
LNC_SH_CorrLimMax,2,
LNC_F_corrRvs,0,
LNC_F_halfEf,0,
LNC_UH_effectDelay,0,

Shading_Data_(_Adjust_Area_data_),
R     ,G     ,B     ,
     0,     0,    17,
     8,     8,    42,
    56,    26,    43,
    50,    22,    42,
     0,    12,    47,
    29,    19,    49,
    70,    40,    59,
    47,    20,    42,
     2,    17,    53,
    39,    19,    45,
    66,    35,    52,
    46,    22,    48,
     1,    13,    45,
    49,    26,    48,
    66,    35,    49,
    31,    12,    40,
    11,    16,    51,
    56,    28,    47,
    63,    31,    47,
    21,    14,    46,
    18,    13,    47,
    62,    33,    49,
    59,    33,    51,
    12,    15,    45,
    33,    19,    49,
    68,    34,    48,
    52,    26,    46,
     9,    19,    53,
    43,    16,    44,
    65,    30,    40,
    42,    19,    39,
     4,    15,    48,
    51,    19,    40,
    69,    35,    49,
    31,    12,    37,
     5,    12,    42,
    60,    23,    43,
    66,    32,    48,
    21,    15,    43,
    15,    13,    43,
    68,    32,    48,
    69,    32,    50,
    17,    17,    47,
    29,    16,    46,
    73,    36,    50,
    63,    30,    50,
    14,    21,    53,
    46,    22,    46,
    76,    37,    47,
    57,    27,    47,
    12,    20,    50,
    53,    24,    48,
    75,    38,    50,
    42,    18,    44,
    14,    15,    44,
    63,    31,    48,
    76,    38,    52,
    36,    16,    44,
    21,    12,    40,
    68,    34,    47,
    70,    34,    46,
    28,    18,    48,
    32,    15,    43,
    74,    35,    46,
    67,    33,    46,
    21,    20,    52,
    45,    20,    48,
    77,    38,    52,
    57,    27,    46,
    15,    20,    49,
    55,    25,    48,
    73,    33,    45,
    43,    17,    36,
    14,    17,    47,
    63,    23,    42,
    74,    32,    42,
    34,    15,    39,
    16,    16,    44,
    63,    24,    39,
    70,    27,    39,
    24,    15,    44,
    26,    14,    44,
    73,    30,    43,
    69,    29,    45,
    19,    18,    48,
    36,    14,    36,
    74,    35,    46,
    55,    21,    37,
    12,    15,    41,
    48,    16,    37,
    75,    30,    42,
    50,    15,    35,
    11,    11,    40,
    48,    14,    28,
    71,    32,    42,
    41,    13,    33,
    16,    14,    41,
    59,    24,    40,
    69,    27,    38,
    31,    13,    36,
    23,    14,    43,
    64,    24,    33,
    62,    26,    36,
    21,    13,    38,
    37,    15,    42,
    71,    30,    41,
    57,    21,    32,
    14,    11,    36,
    42,    13,    32,
    72,    28,    35,
    53,    20,    35,
    13,    12,    36,
    54,    17,    36,
    72,    29,    38,
    46,    16,    34,
    14,    12,    37,
    60,    19,    33,
    76,    30,    41,
    35,    12,    33,
    20,    13,    38,
    69,    24,    35,
